"","ATCOCode","NaptanCode","PlateCode","CleardownCode","CommonName","CommonNameLang","ShortCommonName","ShortCommonNameLang","Landmark","LandmarkLang","Street","StreetLang","Crossing","CrossingLang","Indicator","IndicatorLang","Bearing","NptgLocalityCode","LocalityName","ParentLocalityName","GrandParentLocalityName","Town","TownLang","Suburb","SuburbLang","LocalityCentre","GridType","Easting","Northing","Longitude","Latitude","StopType","BusStopType","TimingStatus","DefaultWaitTime","Notes","NotesLang","AdministrativeAreaCode","CreationDateTime","ModificationDateTime","RevisionNumber","Modification","Status"
"370271","5710AWA10089","cdijpwt","44",NA,"Clevedon Court","","","","Clevedon Court","","Llanrumney Avenue","","Clevedon Road","","o/s","","NE","E0054012","Llanrumney","Cardiff","","","","","",1,"U",322265,180632,-3.1217430236,51.519238619,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:08:20",3,"rev","act"
"370272","5710AWA10063","cdipdgw","5601 0257",NA,"High School","","Rumney High School","","Rumney High School","","Newport Road","","","","opp","","NE","E0054022","Rumney","Cardiff","","","","","",1,"U",322346,180365,-3.1205169372,51.5168495236,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T17:50:12",2,"rev","act"
"370273","5710AWA10064","cdipdaj","5601 0014",NA,"Mount Pleasant Avenue","","","","","","Newport Road","","Mount Pleasant Avenue","","o/s","","NE","E0054012","Llanrumney","Cardiff","","","","","",1,"U",322655,180703,-3.1161389337,51.5199305071,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T17:50:13",1,"rev","act"
"370274","5710AWA10140","cdipdmw","5601 0412",NA,"Towyn Road","","","","220 Greenway Rd","","Greenway Road","","","","","","SW","E0054022","Rumney","Cardiff","","","","","",1,"U",322563,179860,-3.117279137,51.5123395435,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T21:59:07",1,"rev","act"
"370275","5710AWA10141","cdiptdp","5601 0413",NA,"Trowbridge Road","","","","","","Greenway Road","","Trowbridge Road","","","","SW","E0054026","Trowbridge","Cardiff","","","","","",1,"U",322733,180105,-3.1148836759,51.5145653388,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T21:59:03",2,"rev","act"
"370276","5710AWA10142","cdiptdt","",NA,"Trowbridge Road","","","","Pensioners Flats","","Trowbridge Road","","Greenway Road","","o/s","","SE","E0054026","Trowbridge","Cardiff","","","","","",1,"U",322779,180135,-3.1142274892,51.51484133,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:22:40",3,"rev","act"
"370277","5710AWA10143","cdipmwp","5601 0414",NA,"Brynbala Way","","","","54 Aberdaron Rd","","Aberdaron Road","","Brynbala Way","","","","SW","E0054026","Trowbridge","Cardiff","","","","","",1,"U",322994,180143,-3.111131494,51.5149426394,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T21:58:54",2,"rev","act"
"370278","5710AWA10144","cdipmwm","8",NA,"Brynbala Way","","","","47 Aberdaron Way","","Aberdaron Way","","Prestatyn Road","","","","NE","E0054026","Trowbridge","Cardiff","","","","","",1,"U",323004,180175,-3.1109944131,51.5152316764,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T21:58:49",2,"rev","act"
"370279","5710AWA10145","cdiptam","",NA,"Glan y Mor Road","","","","75 Aberdaron Rd","","Aberdaron Road","","Glan-y-mor Road","","","","NE","E0054026","Trowbridge","Cardiff","","","","","",1,"U",323110,180303,-3.1094951037,51.5163968234,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T21:58:45",1,"rev","act"
"370280","5710AWA10146","cdiptap","5601 0415",NA,"Glan y Mor Road","","","","","","Aberdaron Road","","Glan-y-mor Road","","nr","","SW","E0054026","Trowbridge","Cardiff","","","","","",1,"U",323136,180302,-3.1091202611,51.5163913773,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:22:43",2,"rev","act"
"370281","5710AWA10147","cdiptaw","",NA,"Pensarn Road","","","","Ysgol Pen Y Pil","","Glan-y-mor Road","","Pensarn Road","","o/s","","SE","E0054026","Trowbridge","Cardiff","","","","","",1,"U",323159,180310,-3.1087906096,51.5164664291,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:22:45",1,"rev","act"
"370282","5710AWA10148","cdipmwt","13",NA,"Cemaes Crescent","","","","45 Brynbala Way","","Brynbala Way","","Cemaes Crescent","","","","E","E0054026","Trowbridge","Cardiff","","","","","",1,"U",323251,180149,-3.1074299032,51.5150316039,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2007-05-25T00:00:00",0,"new","act"
"370283","5710AWA10129","cdipapm","",NA,"Brachdy Lane","","","","128 New Rd","","New Road","","Brachdy Lane","","","","W","E0054022","Rumney","Cardiff","","","","","",1,"U",321634,178715,-3.1304086477,51.5019180549,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T21:59:27",2,"rev","act"
"370284","5710AWA10130","cdipapj","23",NA,"Brachdy Lane","","","","103 New Rd","","New Road","","Brachdy Lane","","","","E","E0035853","Pwll-Mawr","Cardiff","","","","","",1,"U",321672,178728,-3.1298641884,51.5020401965,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T21:59:30",2,"rev","act"
"370285","5710AWA10131","cdipdgm","5601 0408",NA,"Quarry Dale","","Primrose Close","","168 New Rd","","New Road","","Primrose Close","","","","NW","E0054022","Rumney","Cardiff","","","","","",1,"U",321827,178700,-3.1276253539,51.5018099757,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T21:59:33",2,"rev","act"
"370286","5710AWA10214","cdipapw","5601 0158",NA,"Caeglas Road","","Rumney Village","","Rumney Chapel","","Wentlloog Road","","Caeglas Road","","o/s","","NW","E0054022","Rumney","Cardiff","","","","","",1,"U",321911,178990,-3.1264797214,51.5044286231,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:42:48",3,"rev","act"
"370287","5710AWA10215","cdipapt","",NA,"Caeglas Road","","","","Lee Evans Butchers","","Wentlloog Road","","Caeglas Road","","o/s","","SE","E0054022","Rumney","Cardiff","","","","","",1,"U",321878,179012,-3.1269599588,51.5046218294,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:42:57",3,"rev","act"
"370288","5710AWA10216","cdipdjd","",NA,"Nursery School","","","","Rumney Nursery School","","Wentlloog Road","","","","o/s","","SE","E0054022","Rumney","Cardiff","","","","","",1,"U",321735,179085,-3.1290360704,51.5052582631,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:42:55",2,"rev","act"
"370289","5710AWA10217","cdipdjg","",NA,"Junior School","","Rumney Junior School","","62 Wentloog Rd","","Wentlloog Road","","Church Road","","","","NW","E0054022","Rumney","Cardiff","","","","","",1,"U",321671,179152,-3.1299728937,51.5058516932,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T17:22:59",1,"rev","act"
"370290","5710AWA10218","cdipdpj","7",NA,"Ty Fry Road","","","","40 Wentloog Rd","","Wentlloog Road","","Wentlloog Close","","","","NW","E0054022","Rumney","Cardiff","","","","","",1,"U",321636,179322,-3.1305149075,51.5073750828,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T17:22:55",1,"rev","act"
"370291","5710AWA10219","cdipdpg","",NA,"Ty Fry Road","","","","","","Wentlloog Road","","Ty-Fry Road","","","","SE","E0054022","Rumney","Cardiff","","","","","",1,"U",321640,179351,-3.1304637385,51.5076363395,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T17:22:51",1,"rev","act"
"370292","5710AWA10220","cdimgjp","5601 0159",NA,"Ipswich Road","","","","McDonalds Restaurant","","Newport Road","","","","o/s","","SW","E0035850","Penylan","Cardiff","","","","","",1,"U",320901,178351,-3.1408849793,51.4985435545,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:40:03",2,"rev","act"
"370293","5710AWA10091","cdijtaj","5601 0046",NA,"Countisbury Shops","","","","","","Countisburyy Avenue","","","","o/s","","SW","E0054012","Llanrumney","Cardiff","","","","","",1,"U",322383,180758,-3.1200705015,51.5203875739,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:08:23",1,"rev","act"
"370294","5710AWA10092","cdijtdg","5601 0144",NA,"Good Companions","","","","Llanrumney Library","","Countisburyy Avenue","","Minehead Road","","opp","","N","E0054012","Llanrumney","Cardiff","","","","","",1,"U",322402,180909,-3.1198300183,51.5217476348,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:08:25",1,"rev","act"
"370295","5710AWA10093","cdijtda","5601 0423",NA,"Elgar Crescent","","","","","","Countisbury Avenue","","Elgar Crescent","","","","SW","E0054012","Llanrumney","Cardiff","","","","","",1,"U",322527,181236,-3.1181007493,51.5247044567,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T21:54:12",1,"rev","act"
"370296","5710AWA10243","cdidta","5601 0558",NA,"West Grove 5","","","","University Building","","West Grove","","The Parade","","o/s","","NW","E0054021","Roath","Cardiff","","","","","",0,"U",318939,176794,-3.1687850288,51.4842683898,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:53:29",2,"rev","act"
"370297","5710AWA10124","cdipdpt","5601 0042",NA,"Ty Mawr Road","","","","","","Newport Road","","Ty-mawr Road","","o/s","","SW","E0054022","Rumney","Cardiff","","","","","",1,"U",321265,179047,-3.1357979171,51.5048512729,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:17:14",2,"rev","act"
"370298","5710AWA10125","cdipdmp","5601 0473",NA,"The Potteries","","Pottery","","","","New Road","","Newport Road","","","","W","E0054022","Rumney","Cardiff","","","","","",1,"U",321059,178671,-3.1386810395,51.5014423735,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new","act"
"370299","5710AWA10164","cdipjga","5601 0177",NA,"St Mellons Tesco","","","","St Mellons Tesco","","Crickhowell Road","","Llandogo Road","","","","NW","E0035863","St Mellons","Cardiff","","","","","",1,"U",323645,181272,-3.1019967713,51.5251805829,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2007-05-25T00:00:00",0,"new","del"
"370300","5710AWA10165","cdipjgd","5601 0168",NA,"Heritage Inn","","","","Heritage Inn PH","","Willowbrook Drive","","Crickhowell Road","","o/s","","SW","E0035863","St Mellons","Cardiff","","","","","",1,"U",323600,181387,-3.1026702649,51.5262083095,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:22:55",1,"rev","act"
"370301","5710AWA10166","cdipgwd","",NA,"Bishop Childs","","","","Bishop Child's School","","Willowbrook Drive","","","","o/s","","NE","E0035863","St Mellons","Cardiff","","","","","",1,"U",323718,181463,-3.1009861611,51.5269075076,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:22:57",1,"rev","act"
"370302","5710AWA10167","cdipjdm","2",NA,"Sandbrook Drive","","","","Willowbrook Primary School","","Sandbrook Road","","Bullrush Close","","opp","","E","E0035863","St Mellons","Cardiff","","","","","",1,"U",324461,180988,-3.0901760198,51.5227373876,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:22:59",2,"rev","act"
"370303","5710AWA10055","cdimgdg","5601 0063",NA,"Colchester Avenue Bottom","","","","PC World","","Newport Road","","Colchester Avenue","","o/s","","NE","E0035850","Penylan","Cardiff","","","","","",1,"U",320783,178144,-3.1425379704,51.4966661429,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T17:50:05",3,"rev","act"
"370304","5710AWA10056","cdimgjm","5601-1100",NA,"Ipswich Road","","","","Courts Furnishing","","Newport Road","","Ford Used Car Centre","","o/s","","NE","E0035850","Penylan","Cardiff","","","","","",1,"U",320873,178360,-3.1412902801,51.4986205371,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T17:50:07",2,"rev","act"
"370305","5710AWA10057","cdipatd","",NA,"Castle Avenue","","","","619 Newport Rd","","Newport Road","","Castle Avenue","","","","N","E0054022","Rumney","Cardiff","","","","","",1,"U",321046,178757,-3.1388875656,51.5022136676,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2007-08-28T00:00:00",0,"new","act"
"370306","5710AWA10058","cdipdpm","4D",NA,"Ty Mawr Road","","","","689 Newport Rd","","Newport Road","","Ty-mawr Road","","","","NE","E0054022","Rumney","Cardiff","","","","","",1,"U",321302,179133,-3.1352841561,51.5056295472,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T21:54:18",1,"rev","act"
"370307","5710AWA10059","cdijpwj","5601 0064",NA,"Carpenters Arms","","","","Sue Ryder","","Newport Road","","Widecombe Drive","","o/s","","NE","E0054012","Llanrumney","Cardiff","","","","","",1,"U",321433,179402,-3.1334571069,51.5080660286,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T17:50:08",2,"rev","act"
"370308","5710AWA10060","cdipawp","",NA,"Llanrumney Ave","","","","","","Newport Road","","Llanrumney Avenue","","o/s","","NE","E0054022","Rumney","Cardiff","","","","","",1,"U",321744,179679,-3.1290384434,51.510599395,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T17:50:09",1,"rev","act"
"370309","5710AWA10061","cdipawd","5601 0030",NA,"Highcroft","","","","","","Newport Road","","","","","","NE","E0054022","Rumney","Cardiff","","","","","",1,"U",322011,179972,-3.1252567649,51.513270351,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T21:54:28",1,"rev","act"
"370310","5710AWA10062","cdipdmg","5601 0259",NA,"Taunton Crescent","","","","","","Newport Road","","Witla Court Road","","o/s","","NE","E0054022","Rumney","Cardiff","","","","","",1,"U",322117,180130,-3.1237645243,51.5147053693,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T17:50:11",1,"rev","act"
"370311","5710AWA10174","cdidwg","5601 0661",NA,"Fountain Lane","","","","Fountain Court","","Fountain Lane","","Fortran Road","","opp","","SE","E0035863","St Mellons","Cardiff","","","","","",0,"U",324704,181632,-3.0868120791,51.5285593203,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:25:47",1,"rev","act"
"370312","5710AWA10187","cdiptat","5601 1092",NA,"Meadowlane Primary School","","","","Meadowlane School","","Willowbrook Drive","","","","o/s","","NE","E0054026","Trowbridge","Cardiff","","","","","",1,"U",323869,180400,-3.0985799132,51.5173717869,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:32:23",2,"rev","act"
"370313","5710AWA10188","cdiptag","5601 0483",NA,"Clos Gwlad-Yr-Haf","","","","","","Willowbrook Drive","","","","o/s","","NE","E0054026","Trowbridge","Cardiff","","","","","",1,"U",324099,180540,-3.0952960427,51.5186613556,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:32:25",1,"rev","act"
"370314","5710AWA10189","cdipjam","5601 0443",NA,"Kwik Save","","","","","","Willobrook Drive","","Jasmine Drive","","opp","","NW","E0035863","St Mellons","Cardiff","","","","","",1,"U",324312,181203,-3.0923694757,51.5246502135,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:32:04",2,"rev","act"
"370315","5710AWA10190","cdipjat","5601 0416",NA,"Llaneirwg Way","","","","","","Llanewrwg Way","","Willowbrook Drive","","","","NW","E0035863","St Mellons","Cardiff","","","","","",1,"U",323273,181264,-3.10735607,51.5250581693,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T22:05:22",1,"rev","act"
"370316","5710AWA10108","cdijtgd","5601 0431",NA,"Worle Avenue","","","","","","Ball Road","","Lynton Terrace","","o/s","","S","E0054012","Llanrumney","Cardiff","","","","","",1,"U",321634,180229,-3.1307456259,51.5155284561,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:08:08",3,"rev","act"
"370317","5710AWA10109","cdijtdj","11",NA,"Lynton Terrace","","","","57 Ball Road","","Ball Road","","Lynton Terrace","","","","N","E0054012","Llanrumney","Cardiff","","","","","",1,"U",321624,180247,-3.1308937168,51.5156888811,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T21:58:42",2,"rev","act"
"370318","5710AWA10110","cdiapdw","25",NA,"Ball Lane","","","","161 Ball Rd","","Ball Road","","Ball Lane","","","","NE","E0054012","Llanrumney","Cardiff","","","","","",1,"U",321493,180623,-3.1328650822,51.5190507828,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T21:58:46",1,"rev","act"
"370319","5710AWA10192","cdipdma","",NA,"Tarwick Drive","","","","","","Greenway Road","","Tarwick Drive","","","","NE","E0054022","Rumney","Cardiff","","","","","",1,"U",322975,181053,-3.1116044498,51.5231207085,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T22:05:30",1,"rev","act"
"370324","5710AWA10204","cdipdap","1",NA,"Nevin Crescent","","","","","","Ty-Fry Road","","Rhyl Road","","","","SW","E0054022","Rumney","Cardiff","","","","","",1,"U",322166,179659,-3.1229543859,51.510477977,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:32:11",3,"rev","act"
"370325","5710AWA10205","cdipdam","",NA,"Nevin Crescent","","","","","","Ty-Fry Road","","Rhyl Road","","","","NE","E0054022","Rumney","Cardiff","","","","","",1,"U",322147,179653,-3.1232267861,51.5104214171,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T17:22:18",2,"rev","act"
"370326","5710AWA10206","cdipawt","",NA,"Manorbier Cres","","","","","","Caeglas Road","","Ty-Fry Road","","opp","","NW","E0054022","Rumney","Cardiff","","","","","",1,"U",322080,179576,-3.1241749904,51.5097199597,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:32:12",2,"rev","act"
"370327","5710AWA10207","cdipdad","25",NA,"Manorbier Cres","","","","106 Cae Glas Rd","","Caeglas Road","","Ty-Fry Road","","","","SE","E0054022","Rumney","Cardiff","","","","","",1,"U",322088,179578,-3.1240601815,51.5097390439,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T17:22:04",1,"rev","act"
"370328","5710AWA10208","cdipdga","14",NA,"Oswestry Close","","","","","","Caeglas Road","","Oswestry Close","","opp","","NE","E0054022","Rumney","Cardiff","","","","","",1,"U",322054,179287,-3.1244855791,51.5071183403,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:32:13",1,"rev","act"
"370329","5710AWA10209","cdipatg","13",NA,"Castlefield Centre","","","","Castlefield Centre","","Caeglas Road","","Oswestry Close","","o/s","","SW","E0054022","Rumney","Cardiff","","","","","",1,"U",322059,179278,-3.1244115588,51.5070381236,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:32:16",1,"rev","act"
"370330","5710AWA10210","cdipdta","",NA,"Wentloog Rd","","","","","","Caeglas Road","","Wentlloog Road","","o/s","","SW","E0054022","Rumney","Cardiff","","","","","",1,"U",321897,179014,-3.1266867107,51.5046424388,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:32:17",1,"rev","act"
"370331","5710AWA10211","cdipata","",NA,"Caeglas Road","","","","","","Caeglas Road","","Wentlloog Road","","","","NE","E0054022","Rumney","Cardiff","","","","","",1,"U",321888,179017,-3.1268170196,51.5046681622,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-04-05T17:21:58",2,"rev","act"
"370332","5710AWA10047","cdimwjm","5601 0079",NA,"Infirmary 1","","Cardiff Royal Infirmary","","Eastgate House","","Newport Road","","City Road","","o/s","","NE","E0054021","Roath","Cardiff","","","","","",1,"U",319149,176850,-3.1657742458,51.4848019121,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T17:41:25",2,"rev","act"
"370333","5710AWA10048","cdimwjp","5601 0037",NA,"Infirmary 2","","","","Four Elms Court","","Newport Road","","Glossop Road","","o/s","","NE","E0054021","Roath","Cardiff","","","","","",1,"U",319244,176904,-3.1644187674,51.4853009449,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T17:41:27",2,"rev","act"
"370334","5710AWA10171","cdipgwm","37",NA,"Cypress Drive","","","","","","Cypress Drive","","","","","","N","E0035863","St Mellons","Cardiff","","","","","",1,"U",324630,181399,-3.0878286744,51.5264548096,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T22:04:54",1,"rev","act"
"370335","5710AWA10173","cdipgwp","",NA,"Cypress Drive","","","","","","Cypress Drive","","","","","","S","E0035863","St Mellons","Cardiff","","","","","",1,"U",324642,181441,-3.0876647308,51.5268339852,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T22:04:46",1,"rev","act"
"370336","5710AWA10191","cdipjap","",NA,"Llaneirwg Way","","","","","","Llanewrwg Way","","Willowbrook Drive","","","","SE","E0035863","St Mellons","Cardiff","","","","","",1,"U",323284,181276,-3.1072001622,51.5251675428,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T22:05:25",1,"rev","act"
"370337","5710AWA10244","cdipagp","3",NA,"West Grove 4","","","","","","West Grove","","Newport Road","","opp","","SE","E0054021","Roath","Cardiff","","","","","",1,"U",318946,176806,-3.1686869999,51.4843772699,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2017-01-18T08:15:50",3,"rev","act"
"370338","5710AWA10245","cdimwpw","",NA,"Richmond Crescent","","","","Mansion House","","Richmond Crescent","","Richmond Road","","o/s","","NE","E0054021","Roath","Cardiff","","","","","",1,"U",318843,176988,-3.1702119092,51.4859985863,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:53:32",2,"rev","act"
"370339","5710AWA10134","cdimjag","47",NA,"Downton Grange","","","","","","New Road","","The Avenue","","","","N","E0035853","Pwll-Mawr","Cardiff","","","","","",1,"U",322255,178933,-3.1215118933,51.5039637064,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2012-07-06T00:00:00",0,"new","act"
"370340","5710AWA10123","cdijpwm","5601 0224",NA,"Carpenters Arms","","","","778 Newport Rd","","Newport Road","","Widecombe Drive","","","","SW","E0054012","Llanrumney","Cardiff","","","","","",1,"U",321452,179392,-3.1331811645,51.5079787771,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T21:59:22",1,"rev","act"
"370341","5710AWA10178","cdipjdt","7",NA,"Sanderling Drive","","","","","","Willobrook Drive","","Sanderling Drive","","o/s","","NE","E0054013","Old St Mellons","Cardiff","","","","","",1,"U",323497,181363,-3.1041494544,51.52597859,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:25:53",1,"rev","act"
"370342","5710AWA10119","cdipdja","5601 0302",NA,"High School","","Rumney High School","","Rumney High School","","Newport Road","","","","o/s","","SW","E0054022","Rumney","Cardiff","","","","","",1,"U",322297,180298,-3.1212081706,51.5162404647,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:17:09",2,"rev","act"
"370343","5710AWA10120","cdipdtd","5601 0261",NA,"Witla Court","","","","","","Newport Road","","Witla Court Road","","o/s","","SW","E0054022","Rumney","Cardiff","","","","","",1,"U",322099,180074,-3.1240114741,51.5141994602,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:17:11",1,"rev","act"
"370344","5710AWA10121","cdipawg","5601 0303",NA,"Highcroft","","","","","","Newport Road","","","","opp","","SW","E0054022","Rumney","Cardiff","","","","","",1,"U",322029,179966,-3.1249960998,51.5132189009,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:17:12",2,"rev","act"
"370345","5710AWA10168","cdipjdp","4",NA,"Sandbrook Drive","","","","","","Sandbrook Road","","Bullrush Close","","","","W","E0035863","St Mellons","Cardiff","","","","","",1,"U",324508,180973,-3.0894954971,51.5226088345,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-03-30T22:05:16",1,"rev","act"
"370346","5710AWA10169","cdipjaw","43",NA,"Maes-Y-Crochan","","","","","","Cypress Drive","","Maes-y-Crochan","","nr","","N","E0035863","St Mellons","Cardiff","","","","","",1,"U",324640,181230,-3.0876483455,51.5249368699,"BCT","MKD","OTH",NA,"","",11,"2000-01-01T00:00:00","2016-09-13T18:25:43",2,"rev","act"
