code,name,WIMD (1),Income (2),Employment (3),Health (4),Education (5),Access to Services (6),Community Safety (7),Physical Environment (8),Housing (9),,,,,
W01000001, Aberffraw & Rhosneigr 1 ,861,929,867,1227,797,219,804,1776,744,,,,,
W01000002, Aberffraw & Rhosneigr 2 ,1153,1097,998,1347,1255,445,1656,1653,378,,,,,
W01000003, Amlwch Port ,500,483,607,450,620,628,392,1387,219,,,,,
W01000004, Amlwch Rural ,1126,1110,948,1254,1158,338,1180,1789,1033,,,,,
W01000005, Beaumaris ,1231,1019,1242,1571,964,909,1063,804,500,,,,,
W01000006, Bodffordd ,933,956,868,1175,1372,175,1555,1574,415,,,,,
W01000007, Bodorgan ,972,1102,1105,1054,1465,150,1740,789,340,,,,,
W01000008, Braint ,1781,1450,1584,1725,1763,1809,1602,1475,815,,,,,
W01000009, Bryngwran ,742,677,757,907,1037,239,1203,1394,504,,,,,
W01000010, Brynteg ,1485,1249,1300,1538,1406,499,1582,1730,1323,,,,,
W01000011, Cadnant (Isle of Anglesey) ,1634,1568,1602,1798,1249,1558,748,1261,335,,,,,
W01000012, Cefni ,1409,1012,1082,1506,1768,1200,469,1238,1534,,,,,
W01000013, Cwm Cadnant ,1673,1720,1577,1695,1635,374,1765,1578,1346,,,,,
W01000014, Cyngar ,1031,820,754,1052,1364,1049,709,999,1167,,,,,
W01000015, Gwyngyll ,1733,1458,1587,1087,1837,1465,1614,1470,1607,,,,,
W01000016, Holyhead Town ,209,149,194,339,444,1515,28,941,301,,,,,
W01000017, Kingsland ,326,231,351,393,468,683,325,737,622,,,,,
W01000018, Llanbadrig ,980,850,861,1180,755,898,941,960,1038,,,,,
W01000019, Llanbedrgoch ,1335,1157,1269,1316,1301,463,1341,1386,1004,,,,,
W01000020, Llanddyfnan ,1375,1459,1375,1482,1493,152,1766,1654,1118,,,,,
W01000021, Llaneilian ,969,978,935,1159,1126,179,1598,1599,802,,,,,
W01000022, Llanfaethlu ,721,903,1058,1006,1167,56,1413,1686,65,,,,,
W01000023, Llanfair-yn-Neubwll 1 ,873,919,1162,606,872,217,1423,1761,770,,,,,
W01000024, Llanfair-yn-Neubwll 2 ,915,805,1230,1373,819,168,1162,1864,445,,,,,
W01000025, Llanfihangel Ysgeifiog ,1115,1260,1287,1520,1269,320,1374,397,211,,,,,
W01000026, Llangoed ,943,1082,1073,977,1229,69,1538,1898,853,,,,,
W01000027, Llanidan ,1017,1054,1076,1047,1412,208,1665,1372,368,,,,,
